"id","nome","nome_popular","pais","estado","cidade","estadio","divisao_nacional","forca_financeira"
"abc_rn","ABC Futebol Clube","ABC","BR","RN","Natal","","",""
"abecat","Associação Beneficente e Esportiva Catalana e Ouvidorense","ABECAT","BR","GO","Ouvidor","Luiz Benedito","",""
"adesg","Associação Desportiva Senador Guiomard","ADESG","BR","AC","Senador Guiomard","Naborzão","",""
"agua_santa","Esporte Clube Água Santa","Água Santa","BR","SP","Diadema","","",""
"aguia_cumaru","Águia de Cumaru","Águia","BR","PE","Cumaru","","",""
"aguia_de_maraba","Águia de Marabá Futebol Clube","Águia de Marabá","BR","PA","Marabá","","",""
"aguia_negra","Esporte Clube Águia Negra","Águia Negra","BR","MS","Rio Brilhante","","",""
"aimore","Clube Esportivo Aimoré","Aimoré","BR","RS","São Leopoldo","João Correa da Silveira","",""
"altos","Altos Futebol Clube","Altos","BR","PI","Altos","","",""
"amazonas_fc","Amazonas Futebol Clube","Amazonas","BR","AM","Manaus","Carlos Zamith","serie_c",""
"amazonia_pa","Amazônia Independente Futebol Clube","Amazônia","BR","PA","Santarém","","",""
"america_mg","América Futebol Clube","América-MG","BR","MG","Belo Horizonte","Independência","serie_b","baixa"
"america_pe","América Futebol Clube (PE)","América-PE","BR","PE","Recife","","",""
"america_propria","América Futebol Clube (Propriá)","América-SE","BR","SE","Propriá","","",""
"america_rj","América Futebol Clube (RJ)","América-RJ","BR","RJ","Rio de Janeiro","","",""
"america_rn","América Futebol Clube (RN)","América-RN","BR","RN","Natal","","",""
"americano","Americano Esporte Clube","Americano","BR","RJ","Campos dos Goytacazes","","",""
"anapolina","Associação Atlética Anapolina","Anapolina","BR","GO","Anápolis","Jonas Duarte","",""
"anapolis_fc","Anápolis Futebol Clube","Anápolis FC","BR","GO","Anápolis","Jonas Duarte","serie_c",""
"andraus","Clube Andraus Brasil","Andraus","BR","PR","Campo Largo","","",""
"apafut","Associação de Pais e Amigos do Futebol","Apafut","BR","RS","Caxias do Sul","","",""
"aparecidense","Associação Atlética Aparecidense","Aparecidense","BR","GO","Aparecida de Goiânia","Aníbal Batista de Toledo","",""
"aracatuba","Araçatuba Futebol Clube","Araçatuba","BR","SP","Araçatuba","","",""
"araguaina","Araguaína Futebol Clube","Araguaína","BR","TO","Araguaína","","",""
"araruama","Araruama Sport Club","Araruama","BR","RJ","Araruama","","",""
"aruc","Associação Recreativa Cultural Unidos do Cruzeiro","ARUC","BR","DF","Brasília","","",""
"asa","Agremiação Sportiva Arapiraquense","ASA","BR","AL","Arapiraca","","",""
"athletic_club_mg","Athletic Club","Athletic","BR","MG","São João del-Rei","Arena Unimed","serie_b",""
